context,cost_source,carbon_price_scenario,pct_ch4_intensity_change,abatement_ton_co2e_cow_yr,gross_cost_usd_cow_yr,carbon_revenue_usd_cow_yr,net_cost_usd_cow_yr,net_dollar_per_ton_co2e
BAU diet (highest NDF),DSM-linked cost,low,-32.13240000050823,1.0948701708673982,99.0,6.941476883299305,92.0585231167007,84.08167978836103
BAU diet (highest NDF),DSM-linked cost,mid,-32.13240000050823,1.0948701708673982,99.0,32.846105126021946,66.15389487397806,60.421679788361025
BAU diet (highest NDF),DSM-linked cost,high,-32.13240000050823,1.0948701708673982,99.0,57.48068397053841,41.51931602946159,37.92167978836102
BAU diet (highest NDF),Independent (Pupo) cost,low,-32.13240000050823,1.0948701708673982,128.32,6.941476883299305,121.37852311670069,110.86111061053016
BAU diet (highest NDF),Independent (Pupo) cost,mid,-32.13240000050823,1.0948701708673982,128.32,32.846105126021946,95.47389487397805,87.20111061053016
BAU diet (highest NDF),Independent (Pupo) cost,high,-32.13240000050823,1.0948701708673982,128.32,57.48068397053841,70.83931602946159,64.70111061053015
Lever-A-optimized diet (NFC-constrained),DSM-linked cost,low,-32.443451358008794,1.10245490442025,99.0,6.989564094024385,92.01043590597561,83.45959144184796
Lever-A-optimized diet (NFC-constrained),DSM-linked cost,mid,-32.443451358008794,1.10245490442025,99.0,33.073647132607505,65.9263528673925,59.79959144184796
Lever-A-optimized diet (NFC-constrained),DSM-linked cost,high,-32.443451358008794,1.10245490442025,99.0,57.878882482063126,41.121117517936874,37.299591441847966
Lever-A-optimized diet (NFC-constrained),Independent (Pupo) cost,low,-32.443451358008794,1.10245490442025,128.32,6.989564094024385,121.3304359059756,110.05478357391848
Lever-A-optimized diet (NFC-constrained),Independent (Pupo) cost,mid,-32.443451358008794,1.10245490442025,128.32,33.073647132607505,95.24635286739249,86.39478357391847
Lever-A-optimized diet (NFC-constrained),Independent (Pupo) cost,high,-32.443451358008794,1.10245490442025,128.32,57.878882482063126,70.44111751793687,63.89478357391849
