ei_reduction_estimate,heifer_cost_scenario,carbon_price_scenario,abatement_ton_co2e_cow_yr,heifer_cost_savings_usd_yr,gross_cost_usd_yr,carbon_revenue_usd_yr,net_cost_usd_yr,net_dollar_per_ton_co2e
lower bound (2.7%/10pt),dry-lot ($1594),low,0.09174819932343266,159.4,-159.4,0.5816835837105631,-159.98168358371058,-1743.703797605224
lower bound (2.7%/10pt),dry-lot ($1594),mid,0.09174819932343266,159.4,-159.4,2.75244597970298,-162.15244597970297,-1767.363797605224
lower bound (2.7%/10pt),dry-lot ($1594),high,0.09174819932343266,159.4,-159.4,4.816780464480215,-164.21678046448022,-1789.8637976052241
lower bound (2.7%/10pt),confinement ($1919),low,0.09174819932343266,191.9,-191.9,0.5816835837105631,-192.48168358371058,-2097.934182938786
lower bound (2.7%/10pt),confinement ($1919),mid,0.09174819932343266,191.9,-191.9,2.75244597970298,-194.65244597970297,-2121.5941829387857
lower bound (2.7%/10pt),confinement ($1919),high,0.09174819932343266,191.9,-191.9,4.816780464480215,-196.71678046448022,-2144.094182938786
upper bound (5.0%/10pt),dry-lot ($1594),low,0.1699040728211714,159.4,-159.4,1.0771918216862266,-160.47719182168623,-944.5164507068221
upper bound (5.0%/10pt),dry-lot ($1594),mid,0.1699040728211714,159.4,-159.4,5.0971221846351416,-164.49712218463515,-968.176450706822
upper bound (5.0%/10pt),dry-lot ($1594),high,0.1699040728211714,159.4,-159.4,8.919963823111498,-168.3199638231115,-990.6764507068219
upper bound (5.0%/10pt),confinement ($1919),low,0.1699040728211714,191.9,-191.9,1.0771918216862266,-192.97719182168623,-1135.8008587869456
upper bound (5.0%/10pt),confinement ($1919),mid,0.1699040728211714,191.9,-191.9,5.0971221846351416,-196.99712218463515,-1159.4608587869457
upper bound (5.0%/10pt),confinement ($1919),high,0.1699040728211714,191.9,-191.9,8.919963823111498,-200.8199638231115,-1181.9608587869457
